código,etapa,ano_ou_faixa,campo_experiência,componente,número,habilidade,unidade_tematica,objeto_conhecimento,em_foco,mf_classificacao,mf_conhecimento_previo,mf_objetivos,mf_competencias,mf_habilidades_relacionadas,mf_comentarios
EF67LP37,Ensino Fundamental,67,,Língua Portuguesa,37,"Analisar, em diferentes textos, os efeitos de sentido decorrentes do uso de recursos linguístico-discursivos de prescrição, causalidade, sequências descritivas e expositivas e ordenação de eventos.",Análise linguística/semiótica,Sequências textuais,,,,,,,
EF67LP38,Ensino Fundamental,67,,Língua Portuguesa,38,"Analisar os efeitos de sentido do uso de figuras de linguagem, como comparação, metáfora, metonímia, personificação, hipérbole, dentre outras.",Análise linguística/semiótica,Figuras de linguagem,,,,,,,
EF69AR01,Ensino Fundamental,69,,Arte,01,"Pesquisar, apreciar e analisar formas distintas das artes visuais tradicionais e contemporâneas, em obras de artistas brasileiros e estrangeiros de diferentes épocas e em diferentes matrizes estéticas e culturais, de modo a ampliar a experiência com diferentes contextos e práticas artístico-visuais e cultivar a percepção, o imaginário, a capacidade de simbolizar e o repertório imagético.",Artes visuais,Contextos e práticas,,,,,,,
EF69AR02,Ensino Fundamental,69,,Arte,02,"Pesquisar e analisar diferentes estilos visuais, contextualizando-os no tempo e no espaço.",Artes visuais,Contextos e práticas,,,,,,,
EF69AR03,Ensino Fundamental,69,,Arte,03,"Analisar situações nas quais as linguagens das artes visuais se integram às linguagens audiovisuais (cinema, animações, vídeos etc.), gráficas (capas de livros, ilustrações de textos diversos etc.), cenográficas, coreográficas, musicais etc.",Artes visuais,Contextos e práticas,,,,,,,
EF69AR04,Ensino Fundamental,69,,Arte,04,"Analisar os elementos constitutivos das artes visuais (ponto, linha, forma, direção, cor, tom, escala, dimensão, espaço, movimento etc.) na apreciação de diferentes produções artísticas.",Artes visuais,Elementos da linguagem,,,,,,,
EF69AR05,Ensino Fundamental,69,,Arte,05,"Experimentar e analisar diferentes formas de expressão artística (desenho, pintura, colagem, quadrinhos, dobradura, escultura, modelagem, instalação, vídeo, fotografia, performance etc.).",Artes visuais,Materialidades,,,,,,,
EF69AR06,Ensino Fundamental,69,,Arte,06,"Desenvolver processos de criação em artes visuais, com base em temas ou interesses artísticos, de modo individual, coletivo e colaborativo, fazendo uso de materiais, instrumentos e recursos convencionais, alternativos e digitais.",Artes visuais,Processos de criação,,,,,,,
EF69AR07,Ensino Fundamental,69,,Arte,07,"Dialogar com princípios conceituais, proposições temáticas, repertórios imagéticos e processos de criação nas suas produções visuais.",Artes visuais,Processos de criação,,,,,,,
EF69AR08,Ensino Fundamental,69,,Arte,08,"Diferenciar as categorias de artista, artesão, produtor cultural, curador, designer, entre outras, estabelecendo relações entre os profissionais do sistema das artes visuais.",Artes visuais,Sistemas da linguagem,,,,,,,
EF69AR09,Ensino Fundamental,69,,Arte,09,"Pesquisar e analisar diferentes formas de expressão, representação e encenação da dança, reconhecendo e apreciando composições de dança de artistas e grupos brasileiros e estrangeiros de diferentes épocas.",Dança,Contextos e práticas,,,,,,,
EF69AR10,Ensino Fundamental,69,,Arte,10,"Explorar elementos constitutivos do movimento cotidiano e do movimento dançado, abordando, criticamente, o desenvolvimento das formas da dança em sua história tradicional e contemporânea.",Dança,Elementos da linguagem,,,,,,,
EF69AR11,Ensino Fundamental,69,,Arte,11,"Experimentar e analisar os fatores de movimento (tempo, peso, fluência e espaço) como elementos que, combinados, geram as ações corporais e o movimento dançado.",Dança,Elementos da linguagem,,,,,,,
EF69AR12,Ensino Fundamental,69,,Arte,12,Investigar e experimentar procedimentos de improvisação e criação do movimento como fonte para a construção de vocabulários e repertórios próprios.,Dança,Processos de criação,,,,,,,
EF69AR13,Ensino Fundamental,69,,Arte,13,"Investigar brincadeiras, jogos, danças coletivas e outras práticas de dança de diferentes matrizes estéticas e culturais como referência para a criação e a composição de danças autorais, individualmente e em grupo.",Dança,Processos de criação,,,,,,,
EF69AR14,Ensino Fundamental,69,,Arte,14,"Analisar e experimentar diferentes elementos (figurino, iluminação, cenário, trilha sonora etc.) e espaços (convencionais e não convencionais) para composição cênica e apresentação coreográfica.",Dança,Processos de criação,,,,,,,
EF69AR15,Ensino Fundamental,69,,Arte,15,"Discutir as experiências pessoais e coletivas em dança vivenciadas na escola e em outros contextos, problematizando estereótipos e preconceitos.",Dança,Processos de criação,,,,,,,
EF69AR16,Ensino Fundamental,69,,Arte,16,"Analisar criticamente, por meio da apreciação musical, usos e funções da música em seus contextos de produção e circulação, relacionando as práticas musicais às diferentes dimensões da vida social, cultural, política, histórica, econômica, estética e ética.",Música,Contextos e práticas,,,,,,,
EF69AR17,Ensino Fundamental,69,,Arte,17,"Explorar e analisar, criticamente, diferentes meios e equipamentos culturais de circulação da música e do conhecimento musical.",Música,Contextos e práticas,,,,,,,
EF69AR18,Ensino Fundamental,69,,Arte,18,Reconhecer e apreciar o papel de músicos e grupos de música brasileiros e estrangeiros que contribuíram para o desenvolvimento de formas e gêneros musicais.,Música,Contextos e práticas,,,,,,,
EF69AR19,Ensino Fundamental,69,,Arte,19,"Identificar e analisar diferentes estilos musicais, contextualizando-os no tempo e no espaço, de modo a aprimorar a capacidade de apreciação da estética musical.",Música,Contextos e práticas,,,,,,,
EF69AR20,Ensino Fundamental,69,,Arte,20,"Explorar e analisar elementos constitutivos da música (altura, intensidade, timbre, melodia, ritmo etc.), por meio de recursos tecnológicos (games e plataformas digitais), jogos, canções e práticas diversas de composição/criação, execução e apreciação musicais.",Música,Elementos da linguagem,,,,,,,
EF69AR21,Ensino Fundamental,69,,Arte,21,"Explorar e analisar fontes e materiais sonoros em práticas de composição/criação, execução e apreciação musical, reconhecendo timbres e características de instrumentos musicais diversos.",Música,Materialidades,,,,,,,
EF69AR22,Ensino Fundamental,69,,Arte,22,"Explorar e identificar diferentes formas de registro musical (notação musical tradicional, partituras criativas e procedimentos da música contemporânea), bem como procedimentos e técnicas de registro em áudio e audiovisual.",Música,Notação e registro musical,,,,,,,
EF69AR23,Ensino Fundamental,69,,Arte,23,"Explorar e criar improvisações, composições, arranjos, jingles, trilhas sonoras, entre outros, utilizando vozes, sons corporais e/ou instrumentos acústicos ou eletrônicos, convencionais ou não convencionais, expressando ideias musicais de maneira individual, coletiva e colaborativa.",Música,Processos de criação,,,,,,,
EF69AR24,Ensino Fundamental,69,,Arte,24,"Reconhecer e apreciar artistas e grupos de teatro brasileiros e estrangeiros de diferentes épocas, investigando os modos de criação, produção, divulgação, circulação e organização da atuação profissional em teatro.",Teatro,Contextos e práticas,,,,,,,
EF69AR25,Ensino Fundamental,69,,Arte,25,"Identificar e analisar diferentes estilos cênicos, contextualizando-os no tempo e no espaço de modo a aprimorar a capacidade de apreciação da estética teatral.",Teatro,Contextos e práticas,,,,,,,
EF69AR26,Ensino Fundamental,69,,Arte,26,"Explorar diferentes elementos envolvidos na composição dos acontecimentos cênicos (figurinos, adereços, cenário, iluminação e sonoplastia) e reconhecer seus vocabulários.",Teatro,Elementos da linguagem,,,,,,,
EF69AR27,Ensino Fundamental,69,,Arte,27,"Pesquisar e criar formas de dramaturgias e espaços cênicos para o acontecimento teatral, em diálogo com o teatro contemporâneo.",Teatro,Processos de criação,,,,,,,
EF69AR28,Ensino Fundamental,69,,Arte,28,Investigar e experimentar diferentes funções teatrais e discutir os limites e desafios do trabalho artístico coletivo e colaborativo.,Teatro,Processos de criação,,,,,,,
EF69AR29,Ensino Fundamental,69,,Arte,29,Experimentar a gestualidade e as construções corporais e vocais de maneira imaginativa na improvisação teatral e no jogo cênico.,Teatro,Processos de criação,,,,,,,
